id,subject,description
CT-0094,Onboarding is too complex,"Ticket 94: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0095,Onboarding is too complex,"Ticket 95: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0096,Onboarding is too complex,"Ticket 96: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0097,Onboarding is too complex,"Ticket 97: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0098,Onboarding is too complex,"Ticket 98: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0099,Onboarding is too complex,"Ticket 99: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0100,Onboarding is too complex,"Ticket 100: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0101,Onboarding is too complex,"Ticket 101: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0102,Onboarding is too complex,"Ticket 102: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0103,Onboarding is too complex,"Ticket 103: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0104,Onboarding is too complex,"Ticket 104: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0105,Onboarding is too complex,"Ticket 105: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0106,Onboarding is too complex,"Ticket 106: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0107,Onboarding is too complex,"Ticket 107: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0108,Onboarding is too complex,"Ticket 108: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0109,Onboarding is too complex,"Ticket 109: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0110,Onboarding is too complex,"Ticket 110: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0111,Onboarding is too complex,"Ticket 111: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0112,Onboarding is too complex,"Ticket 112: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0113,Onboarding is too complex,"Ticket 113: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0114,Onboarding is too complex,"Ticket 114: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0115,Onboarding is too complex,"Ticket 115: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0116,Onboarding is too complex,"Ticket 116: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0117,Onboarding is too complex,"Ticket 117: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0118,Onboarding is too complex,"Ticket 118: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0119,Onboarding is too complex,"Ticket 119: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0120,Onboarding is too complex,"Ticket 120: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0121,Onboarding is too complex,"Ticket 121: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0122,Onboarding is too complex,"Ticket 122: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0123,Onboarding is too complex,"Ticket 123: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0124,Onboarding is too complex,"Ticket 124: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0125,Onboarding is too complex,"Ticket 125: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0126,Onboarding is too complex,"Ticket 126: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0127,Onboarding is too complex,"Ticket 127: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0128,Onboarding is too complex,"Ticket 128: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0129,Onboarding is too complex,"Ticket 129: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0130,Onboarding is too complex,"Ticket 130: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0131,Onboarding is too complex,"Ticket 131: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0132,Onboarding is too complex,"Ticket 132: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0133,Onboarding is too complex,"Ticket 133: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0134,Onboarding is too complex,"Ticket 134: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0135,Onboarding is too complex,"Ticket 135: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0136,Onboarding is too complex,"Ticket 136: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0137,Onboarding is too complex,"Ticket 137: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0138,Onboarding is too complex,"Ticket 138: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0139,Onboarding is too complex,"Ticket 139: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0140,Onboarding is too complex,"Ticket 140: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0141,Onboarding is too complex,"Ticket 141: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0142,Onboarding is too complex,"Ticket 142: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0143,Onboarding is too complex,"Ticket 143: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0144,Onboarding is too complex,"Ticket 144: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0145,Onboarding is too complex,"Ticket 145: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0146,Onboarding is too complex,"Ticket 146: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0147,Onboarding is too complex,"Ticket 147: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0148,Onboarding is too complex,"Ticket 148: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0149,Onboarding is too complex,"Ticket 149: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0150,Onboarding is too complex,"Ticket 150: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0151,Onboarding is too complex,"Ticket 151: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0152,Onboarding is too complex,"Ticket 152: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0153,Onboarding is too complex,"Ticket 153: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0154,Onboarding is too complex,"Ticket 154: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0155,Onboarding is too complex,"Ticket 155: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0156,Onboarding is too complex,"Ticket 156: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0157,Onboarding is too complex,"Ticket 157: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0158,Onboarding is too complex,"Ticket 158: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0159,Onboarding is too complex,"Ticket 159: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0160,Onboarding is too complex,"Ticket 160: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0161,Onboarding is too complex,"Ticket 161: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0162,Onboarding is too complex,"Ticket 162: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0163,Onboarding is too complex,"Ticket 163: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0164,Onboarding is too complex,"Ticket 164: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0165,Onboarding is too complex,"Ticket 165: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0166,Onboarding is too complex,"Ticket 166: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0167,Onboarding is too complex,"Ticket 167: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0168,Onboarding is too complex,"Ticket 168: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0169,Onboarding is too complex,"Ticket 169: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0170,Onboarding is too complex,"Ticket 170: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0171,Onboarding is too complex,"Ticket 171: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0172,Onboarding is too complex,"Ticket 172: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0173,Onboarding is too complex,"Ticket 173: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0174,Onboarding is too complex,"Ticket 174: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0175,Onboarding is too complex,"Ticket 175: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0176,Onboarding is too complex,"Ticket 176: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0177,Onboarding is too complex,"Ticket 177: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0178,Onboarding is too complex,"Ticket 178: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0179,Onboarding is too complex,"Ticket 179: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0180,Onboarding is too complex,"Ticket 180: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0181,Onboarding is too complex,"Ticket 181: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0182,Onboarding is too complex,"Ticket 182: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0183,Onboarding is too complex,"Ticket 183: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0184,Onboarding is too complex,"Ticket 184: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0185,Onboarding is too complex,"Ticket 185: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0186,Onboarding is too complex,"Ticket 186: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0187,Onboarding is too complex,"Ticket 187: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0188,Onboarding is too complex,"Ticket 188: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0189,Onboarding is too complex,"Ticket 189: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0190,Onboarding is too complex,"Ticket 190: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0191,Onboarding is too complex,"Ticket 191: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0192,Onboarding is too complex,"Ticket 192: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0193,Onboarding is too complex,"Ticket 193: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0194,Onboarding is too complex,"Ticket 194: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0195,Onboarding is too complex,"Ticket 195: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0196,Onboarding is too complex,"Ticket 196: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0197,Onboarding is too complex,"Ticket 197: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0198,Onboarding is too complex,"Ticket 198: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0199,Onboarding is too complex,"Ticket 199: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
CT-0200,Onboarding is too complex,"Ticket 200: The setup wizard is too complex, confusing, and overwhelming. We struggle with the steep first run."
